song_name,artist,album,genre
Video Games - Remastered,Lana Del Rey,Born To Die,pop
Queen,Perfume Genius,Too Bright,pop
Pink + White,Frank Ocean,Blonde,pop
Genesis,Grimes,Visions,pop
Let It Happen,Tame Impala,Currents,pop
I Know There's Gonna Be (Good Times) [feat. Popcaan],Young Thug,I Know There's Gonna Be (Good Times) [feat. Popcaan],pop
Your Dog,Soccer Mommy,Clean,pop
Hannah Hunt,Vampire Weekend,Modern Vampires of the City,pop
Norf Norf,Vince Staples,Summertime '06,pop
Royals,Lorde,Pure Heroine,pop
Holocene,Bon Iver,Bon Iver,pop
Shut Up Kiss Me,Angel Olsen,MY WOMAN,pop
GLOWED UP,KAYTRANADA,99.9%,pop
BTSTU (Edit),Jai Paul,BTSTU,pop
Midnight City,M83,"Hurry Up, We're Dreaming",pop
Borrowed Time,Parquet Courts,Light Up Gold + Tally All The Things That You Broke,pop
Them Changes,Thundercat,Drunk,pop
Pretty Pimpin,Kurt Vile,b'lieve i'm goin down...,pop
The Morning,The Weeknd,Trilogy,pop
Should Have Known Better,Sufjan Stevens,Carrie & Lowell,pop
Old Friends,Pinegrove,Cardinal,pop
Close Your Eyes (And Count To Fuck),Run The Jewels,Run The Jewels 2,pop
Sprawl II (Mountains Beyond Mountains),Arcade Fire,The Suburbs,pop
Bags,Clairo,Immunity,pop
Avant Gardener,Courtney Barnett,The Double EP: A Sea of Split Peas,pop
Retrograde,James Blake,Overgrown,pop
Zebra,Beach House,Teen Dream,pop
Red Eyes,The War On Drugs,Lost In The Dream,pop
On Hold,The xx,I See You,pop
Diddy Bop (feat. Cam O'bi & Raury),Noname,Telefone,pop
17,Youth Lagoon,The Year of Hibernation,pop
Ode to Viceroy,Mac DeMarco,2,pop
Don't Touch My Hair,Solange,A Seat at the Table,pop
Helplessness Blues,Fleet Foxes,Helplessness Blues,pop
Sound & Color,Alabama Shakes,Sound & Color,pop
Wildfire,SBTRKT,SBTRKT,pop
Bloodbuzz Ohio,The National,High Violet,pop
Pristine,Snail Mail,Lush,pop
Girl,The Internet,Ego Death,pop
Feels Like We Only Go Backwards,Tame Impala,Lonerism,pop
So Good At Being in Trouble,Unknown Mortal Orchestra,II,pop
Alaska,Maggie Rogers,Heard It In A Past Life,pop
I Don't Wanna Be Funny Anymore,Lucy Dacus,No Burden,pop
See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,pop
Odessa,Caribou,Swim,pop
Don't Wanna Be Your Girl,Wet,Don't You,pop
raingurl,Yaeji,raingurl,pop
All My Happiness is Gone,Purple Mountains,Purple Mountains,pop
I Follow Rivers,Lykke Li,Wounded Rhymes,pop
Only Child,Tierra Whack,Only Child,pop
22 (OVER S∞∞N),Bon Iver,"22, A Million",pop
Chateau Lobby #4 (in C for Two Virgins),Father John Misty,"I Love You, Honeybear",pop
Loving Is Easy,Rex Orange County,Loving Is Easy,pop
(No One Knows Me) Like the Piano,Sampha,Process,pop
Motion Sickness,Phoebe Bridgers,Stranger in the Alps,pop
Hey Moon,John Maus,We Must Become the Pitiless Censors of Ourselves,pop
You're Not Good Enough,Blood Orange,Cupid Deluxe,pop
Every Time the Sun Comes Up,Sharon Van Etten,Are We There,pop
Open Eye Signal,Jon Hopkins,Immunity,pop
Kaputt,Destroyer,Kaputt,pop
Drunk Drivers/Killer Whales,Car Seat Headrest,Teens of Denial,pop
Grown Up,Danny Brown,Grown Up,pop
Love It If We Made It,The 1975,A Brief Inquiry Into Online Relationships,pop
Chum,Earl Sweatshirt,Doris,pop
Round And Round,Ariel Pink,Before Today,pop
Road Head,Japanese Breakfast,Soft Sounds from Another Planet,pop
Never Catch Me,Flying Lotus,You're Dead!,pop
Helicopter,Deerhunter,Halcyon Digest,pop
I'm Not Part of Me,Cloud Nothings,Here and Nowhere Else,pop
Territory,The Blaze,Territory,pop
Downtown,Majical Cloudz,Are You Alone?,pop
Goodie Bag,Still Woozy,Goodie Bag,pop
Airplanes,Local Natives,Gorilla Manor,pop
Kill V. Maim,Grimes,Art Angels,pop
Nobody,Mitski,Be the Cowboy,pop
No Woman,Whitney,Light Upon the Lake,pop
Coffee,Sylvan Esso,Sylvan Esso,pop
Loud Places,Jamie xx,In Colour - Preview White Label,pop
Riding For The Feeling,Bill Callahan,Apocalypse,pop
Cruel,St. Vincent,Strange Mercy,pop
Thinkin Bout You,Frank Ocean,channel ORANGE,pop
Antidote,Orion Sun,A Collection of Fleeting Moments and Daydreams,pop
Get Got,Death Grips,The Money Store,pop
The Wire,HAIM,Days Are Gone,pop
Rill Rill,Sleigh Bells,Treats,pop
Not,Big Thief,Two Hands,pop
The Mother We Share,CHVRCHES,The Bones of What You Believe,pop
"Archie, Marry Me",Alvvays,Alvvays,pop
Mi Mujer,Nicolas Jaar,Time for Us,pop
Lo Que Siento,Cuco,Lo Que Siento,pop
Damn That Valley,U.S. Girls,Half Free,pop
The Words That Maketh Murder,PJ Harvey,Let England Shake,pop
Lucky,Choker,Forever & A Few,pop
Fineshrine,Purity Ring,Shrines,pop
Busy Earnin',Jungle,Jungle,pop
Rare,Selena Gomez,Rare,pop
Señorita,Shawn Mendes,Shawn Mendes (Deluxe),pop
The Victory - Reloaded,Deborah Dworshipper,The Victory (Reloaded),pop
Finally // beautiful stranger,Halsey,Finally // beautiful stranger,pop
One Thing Right - Koni Remix,Marshmello,One Thing Right (Remixes Pt. 2),pop
Lines,Keo Nozari,Headspace,pop
Summer of Love,Lou Ella,Summer of Love,pop
Berlin,Tom Goss,Territories,pop
Dreams,Keo Nozari,Headspace,pop
Help,Saint Mars,Help,pop
Where Are You,Adil C,Where Are You,pop
Closure,Nick Hames,Closure,pop
Okay.,Bailey Crego,Dangerous,pop
Adore You,Harry Styles,Adore You,pop
Me & You,Chip Conyard,Me & You,pop
Never Enough,Blair Woods,Never Enough,pop
I Feel Love,Sam Smith,I Feel Love,pop
Down,Melissa Crispo,The 5th Stage,pop
Alone Tonight,Maxwell Luke,Alone Tonight,pop
Happy You Came Around,Amber Ryann,A Call To A Friend,pop
Wanting More,Kat Holland,Wanting More,pop
Torturing Myself,Lauren Presley,Torturing Myself,pop
Wait for Me,CTZNJ,Wait for Me,pop
Like It or Not,Ksenia,Like It or Not,pop
Special,Kevlah,Special,pop
Gone From Here - Original Mix,Maml,Gone From Here,pop
HITHER,Downlowd,HITHER,pop
I've Changed,Asher Knight,I've Changed,pop
Do It for the Photos,Two Neighbors,Do It for the Photos,pop
If I Loved You,Royse,If I Loved You,pop
Behold!,Seven Lights,Endlessly,pop
Nobody Else - Radio Edit,Scriss,Nobody Else,pop
Senses,KINGDØMS,Senses,pop
Anyway feat. Jafro & Renz,Plastician,Anyway,pop
Tell Me It's Over,Guy Tang,#More2Me,pop
Heart Beats Fast. (Xander Milne Remix),Eivind Husebø,Heart Beats Fast. (Xander Milne Remix),pop
Different Ways,Natixx,Different Ways,pop
Maillot de bain,Modhayan,Biarritz,pop
Knowing,Davina Leone,Knowing,pop
Fantasy,TYFI,Fantasy,pop
Cheap Thrills,Sia,This Is Acting,pop
Problem,Ariana Grande,My Everything (Deluxe),pop
Firestone (feat. Conrad Sewell),Kygo,Firestone (feat. Conrad Sewell),pop
Dead Types,Don Mills,Dead Types,pop
Havana,Camila Cabello,Havana,pop
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe),pop
Slide (feat. Frank Ocean & Migos),Calvin Harris,Funk Wav Bounces Vol.1,pop
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",pop
Faded,Alan Walker,Faded,pop
A Long Time,Shannon K,A Long Time,pop
Someone Like You,Adele,21,pop
Something Just Like This,The Chainsmokers,Something Just Like This,pop
Shape of You,Ed Sheeran,÷ (Deluxe),pop
Swish,Josh Stanley,Swish,pop
Hold Up,Beyoncé,Lemonade,pop
Chandelier,Sia,1000 Forms Of Fear,pop
Thraa,Doje,Thraa,pop
Instant Crush,Daft Punk,Random Access Memories,pop
Yellow Hearts,Ant Saunders,Yellow Hearts,pop
Sass Cafe,Josh Stanley,Sass Cafe,pop
Pumped Up Kicks,Foster The People,Torches,pop
We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),pop
Sweet Dreams,The FifthGuys,Sweet Dreams,pop
All of Me,John Legend,Love In The Future (Expanded Edition),pop
Cry for Me,Camila Cabello,Cry for Me,pop
Sweet Nothing (feat. Florence Welch),Calvin Harris,18 Months,pop
ANTHEM,Connor Bvrns,ANTHEM,pop
Ex's & Oh's,Elle King,Love Stuff,pop
Rich Boy,Josh Stanley,Rich Boy,pop
Don't Let Me Down,The Chainsmokers,Don't Let Me Down,pop
Locked Away,R. City,What Dreams Are Made Of,pop
Happy,ØMG,Happy,pop
Sunday Best,Surfaces,Where the Light Is,pop
Lush Life,Zara Larsson,So Good,pop
Over and Done,Joanna Crass,Over and Done,pop
Uptown Funk,Mark Ronson,Uptown Special,pop
Beyond the Sky,ØMG,Beyond the Sky,pop
Halo,Beyoncé,I AM...SASHA FIERCE,pop
Wild Thoughts,DJ Khaled,Wild Thoughts,pop
Girl On Fire,Alicia Keys,Girl on Fire (Remixes) - EP,pop
Tus Juegos,Pochin Mirkin,Tus Juegos,pop
Liar,Camila Cabello,Liar,pop
Wake Me Up - Radio Edit,Avicii,True,pop
Rude,MAGIC!,Don't Kill the Magic,pop
Nothing,Paul Butcher,Nothing,pop
Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,pop
Still Don't Know My Name,Labrinth,Euphoria (Original Score from the HBO Series),pop
All About That Bass,Meghan Trainor,Title (Deluxe),pop
Story of My Life,One Direction,Midnight Memories (Deluxe),pop
New Rules,Dua Lipa,Dua Lipa (Deluxe),pop
Timber (feat. Ke$ha),Pitbull,Global Warming: Meltdown (Deluxe Version),pop
On & On - Mixed,MØ,Walshy Fire Presents: MMMMØ - The Mix,pop
Dusk Till Dawn - Radio Edit,ZAYN,Dusk Till Dawn (Radio Edit),pop
Impossible,James Arthur,James Arthur (Deluxe),pop
Find U Again (feat. Camila Cabello),Mark Ronson,Find U Again (feat. Camila Cabello),pop
Lost,Chris Linton,Lost,pop
Run the World (Girls),Beyoncé,4,pop
Love Lies (with Normani),Khalid,Love Lies (with Normani),pop
Set Fire to the Rain,Adele,21,pop
Kill My Mind,Louis Tomlinson,Kill My Mind,pop
PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),pop
TiK ToK,Kesha,Animal (Expanded Edition),pop
New Light,John Mayer,New Light,pop
So What,P!nk,Funhouse: The Tour Edition,pop
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),pop
The Greatest,Sia,This Is Acting (Deluxe Version),pop
Say Something,A Great Big World,Is There Anybody Out There?,pop
Five More Hours - Deorro x Chris Brown,Deorro,Good Evening,pop
Malibu,Miley Cyrus,Malibu,pop
I'm the One,DJ Khaled,I'm the One,pop
"Hey, Soul Sister",Train,"Hey, Soul Sister",pop
Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),pop
Silence,Marshmello,Silence,pop
Better,Khalid,Better,pop
Treat You Better,Shawn Mendes,Illuminate,pop
NO,Meghan Trainor,Thank You (Deluxe Version),pop
Radioactive,Imagine Dragons,Night Visions (Deluxe),pop
What About Us,P!nk,What About Us,pop
Budapest,George Ezra,Wanted on Voyage,pop
Cold Water (feat. Justin Bieber & MØ),Major Lazer,Cold Water (feat. Justin Bieber & MØ),pop
Payphone,Maroon 5,Overexposed Track By Track,pop
Say You Won't Let Go,James Arthur,Say You Won't Let Go,pop
Attention,Charlie Puth,Attention,pop
Good Thing (with Kehlani),Zedd,Good Thing (with Kehlani),pop
God Is A Dancer,Tiësto,God Is A Dancer (Acoustic),pop
Supalonely,BENEE,STELLA & STEVE,pop
Breathe,Herb Barclay,Breathe,pop
Sad (feat. Afrojack) - SLVR Remix,Chico Rose,Sad (feat. Afrojack) [SLVR Remix],pop
Mamma Mia,Tokyo Tav,Mamma Mia,pop
Coke & Henny Pt. 2,Pink Sweat$,Volume 2,pop
Without No Fear,Urchin,Without No Fear,pop
Speechless,Dan + Shay,Dan + Shay,pop
Dance Monkey,Tones and I,Dance Monkey,pop
Lose You To Love Me,Selena Gomez,Lose You To Love Me,pop
Memories,Maroon 5,Memories,pop
Circles,Post Malone,Hollywood's Bleeding,pop
Don't Start Now,Dua Lipa,Don't Start Now,pop
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,pop
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,pop
Señorita,Shawn Mendes,Shawn Mendes (Deluxe),pop
hot girl bummer,blackbear,hot girl bummer,pop
RITMO (Bad Boys For Life),The Black Eyed Peas,RITMO (Bad Boys For Life),pop
Follow God,Kanye West,JESUS IS KING,pop
"10,000 Hours (with Justin Bieber)",Dan + Shay,"10,000 Hours (with Justin Bieber)",pop
Ride It,Regard,Ride It,pop
Beautiful People (feat. Khalid),Ed Sheeran,No.6 Collaborations Project,pop
ROXANNE,Arizona Zervas,ROXANNE,pop
Look At Her Now,Selena Gomez,Look At Her Now,pop
How Do You Sleep?,Sam Smith,How Do You Sleep?,pop
Lights Up,Harry Styles,Lights Up,pop
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",pop
Bandit (with YoungBoy Never Broke Again),Juice WRLD,Bandit (with YoungBoy Never Broke Again),pop
China,Anuel AA,China,pop
Trampoline (with ZAYN),SHAED,Trampoline (with ZAYN),pop
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,No.6 Collaborations Project,pop
Liar,Camila Cabello,Liar,pop
Goodbyes (Feat. Young Thug),Post Malone,Goodbyes (Feat. Young Thug),pop
I Don't Care (with Justin Bieber),Ed Sheeran,No.6 Collaborations Project,pop
Lalala,Y2K,Lalala,pop
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,pop
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],pop
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,Good as Hell (feat. Ariana Grande) [Remix],pop
Adicto (with Anuel AA & Ozuna),Tainy,Adicto (with Anuel AA & Ozuna),pop
Ransom,Lil Tecca,We Love You Tecca,pop
LA CANCIÓN,J Balvin,OASIS,pop
It's You,Ali Gatie,It's You,pop
Graveyard,Halsey,Graveyard,pop
Callaita,Bad Bunny,Callaita,pop
Panini,Lil Nas X,Panini,pop
Bad To You (with Normani & Nicki Minaj),Ariana Grande,Charlie's Angels (Original Motion Picture Soundtrack),pop
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,Hollywood's Bleeding,pop
Lose Control,MEDUZA,Lose Control,pop
No Me Conoce - Remix,Jhay Cortez,Famouz,pop
Fantasias,Rauw Alejandro,Fantasias,pop
Takeaway (feat. Lennon Stella),The Chainsmokers,World War Joy...Takeaway,pop
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,Carte Blanche,pop
223's (feat. 9lokknine),YNW Melly,223's (feat. 9lokknine),pop
Stuck In A Dream (feat. Gunna),Lil Mosey,Stuck In A Dream (feat. Gunna),pop
Si Te Vas,Sech,Si Te Vas,pop
Que Tire Pa Lante,Daddy Yankee,Que Tire Pa Lante,pop
Old Town Road - Remix,Lil Nas X,7 EP,pop
"Yo x Ti, Tu x Mi",ROSALÍA,"Yo x Ti, Tu x Mi",pop
Circles,Post Malone,Circles,pop
Dance Monkey,Tones and I,Dance Monkey,pop
Good Thing (with Kehlani),Zedd,Good Thing (with Kehlani),pop
Trigger,Major Lazer,Trigger,pop
Nice To Meet Ya,Niall Horan,Nice To Meet Ya,pop
Make It Right (feat. Lauv),BTS,Make It Right (feat. Lauv),pop
Lonely (with Jonas Brothers),Diplo,Lonely,pop
Easy,Camila Cabello,Easy,pop
Harleys In Hawaii,Katy Perry,Harleys In Hawaii,pop
Motivation,Normani,Motivation,pop
Beautiful People (feat. Khalid),Ed Sheeran,Beautiful People (feat. Khalid),pop
Feelings,Lauv,Feelings,pop
Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,pop
July,Noah Cyrus,July,pop
Heartless (feat. Morgan Wallen),Diplo,Heartless (feat. Morgan Wallen),pop
Panini,Lil Nas X,7 EP,pop
I.F.L.Y.,Bazzi,I.F.L.Y.,pop
Orphans,Coldplay,Orphans / Arabesque,pop
What Am I,Why Don't We,What Am I,pop
Teeth,5 Seconds of Summer,Teeth,pop
Outnumbered,Dermot Kennedy,Outnumbered,pop
Playing Games (with Bryson Tiller) - Extended Version,Summer Walker,Over It,pop
No Sleep (feat. Bonn),Martin Garrix,No Sleep (feat. Bonn),pop
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",pop
Piece Of Your Heart,MEDUZA,Piece Of Your Heart,pop
Better When You're Gone,David Guetta,Better When You're Gone,pop
Obsessed,Dynoro,Obsessed,pop
Mistaken (feat. Alex Aris),Martin Garrix,Mistaken (feat. Alex Aris),pop
Here With Me,Marshmello,Here With Me,pop
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,Dancin (feat. Luvli) [Krono Remix],pop
Bones (feat. OneRepublic),Galantis,Bones (feat. OneRepublic),pop
Happy Now,Kygo,Happy Now,pop
All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones,Snacks,pop
Heaven,Avicii,TIM,pop
Who's Got Your Love,Cheat Codes,Who's Got Your Love,pop
Happier,Marshmello,Happier,pop
Think About You,Kygo,Think About You,pop
Brave,Don Diablo,Brave,pop
High On Life (feat. Bonn),Martin Garrix,High On Life (feat. Bonn),pop
All Around The World (La La La),R3HAB,All Around The World (La La La),pop
Speechless (feat. Erika Sirola),Robin Schulz,Speechless (feat. Erika Sirola),pop
Fire In My Soul,Oliver Heldens,Fire In My Soul,pop
Remember (with ZOHARA),Gryffin,Remember (with ZOHARA),pop
Electricity (with Dua Lipa),Silk City,Electricity (with Dua Lipa),pop
One Touch (with ‪Jess Glynne),Jess Glynne,Snacks (Supersize),pop
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,No More (feat. Brenda Mullen) [Bottai Edit],pop
So Close,NOTD,So Close (feat. Georgia Ku),pop
Giant (with Rag'n'Bone Man),Calvin Harris,Giant (with Rag'n'Bone Man),pop
Cry for Me,Camila Cabello,Cry for Me,pop
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",pop
Love You Like A Love Song,Selena Gomez & The Scene,When The Sun Goes Down,pop
Right Now,Nick Jonas,Right Now,pop
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe),pop
Sucker,Jonas Brothers,Happiness Begins,pop
Sorry Not Sorry,Demi Lovato,Tell Me You Love Me (Deluxe),pop
None Of My Business,Cher Lloyd,None Of My Business,pop
Beautiful Soul,Jesse McCartney,Beautiful Soul,pop
Ready or Not,Bridgit Mendler,Hello My Name Is...,pop
All I Ever Need,Austin Mahone,The Secret,pop
Underwater,Cody Simpson,Wave Two,pop
Slide Away,Miley Cyrus,Slide Away,pop
Too Little Too Late - 2018,JoJo,The High Road (2018),pop
Feeling So Good,Ashley Tisdale,Symptoms,pop
He Could Be the One,Hannah Montana,Hannah Montana 3,pop
"Strut - From ""The Cheetah Girls 2""",The Cheetah Girls,The Cheetah Girls 2,pop
L.A. Boyz,Victorious Cast,Victorious 3.0: Even More Music From The Hit TV Show,pop
No Air (feat. Chris Brown),Jordin Sparks,Jordin Sparks,pop
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)",pop
Come Clean,Hilary Duff,Metamorphosis,pop
Hurts Like Hell (feat. Offset),Madison Beer,Hurts Like Hell (feat. Offset),pop
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),pop
Say OK,Vanessa Hudgens,V,pop
shut up,Greyson Chance,portraits,pop
Boyfriend,Big Time Rush,BTR,pop
Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Deluxe),pop
Tonight Tonight,Hot Chelle Rae,Whatever,pop
Glad You Came,The Wanted,Battleground (Deluxe Edition),pop
Missing You,The Vamps,Missing You - EP,pop
Hero,Christopher Wilde,StarStruck,pop
Replay,Zendaya,Zendaya,pop
Stay My Baby,Miranda Cosgrove,iCarly - Music From and Inspired by the Hit TV Show,pop
Don't Let It Break Your Heart - Single Edit,Louis Tomlinson,Don't Let It Break Your Heart,pop
Potential Breakup Song,Aly & AJ,Insomniatic,pop
Cake By The Ocean,DNCE,DNCE,pop
TiK ToK,Kesha,Animal (Expanded Edition),pop
Sue Me,Sabrina Carpenter,Singular Act I,pop
Live Forever (With Cheat Codes),Liam Payne,LP1,pop
Call Me Maybe,Carly Rae Jepsen,Kiss,pop
Rare,Selena Gomez,Rare,pop
Story of My Life,One Direction,Midnight Memories (Deluxe),pop
Do It Again,Pia Mia,Do It Again,pop
When I Grow Up,The Pussycat Dolls,Doll Domination (Deluxe),pop
Make You Believe,Lucy Hale,A Cinderella Story: Once Upon A Song (Original Motion Picture Soundtrack),pop
Total Eclipse Of The Heart (Glee Cast Version) (feat. Jonathan Groff),Glee Cast,"Glee: The Music, Volume 3 Showstoppers",pop
like that,Bea Miller,aurora,pop
Classic,MKTO,MKTO,pop
Truth Or Dare,Emily Osment,Fight Or Flight (Bonus Track Version),pop
Love Me Less (feat. Quinn XCII),MAX,Love Me Less (feat. Quinn XCII),pop
Dusk Till Dawn - Radio Edit,ZAYN,Dusk Till Dawn (Radio Edit),pop
Dear No One,Tori Kelly,Foreword,pop
Complicated,Avril Lavigne,Let Go,pop
Can I Have This Dance - Original Version,High School Musical Cast,High School Musical 3: Senior Year,pop
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",pop
Let You Love Me,Rita Ora,Phoenix (Deluxe Edition),pop
I Won't Give Up,Christina Grimmie,Side B,pop
Never Really Over,Katy Perry,Never Really Over,pop
Out Of Love,Alessia Cara,The Pains Of Growing,pop
Easier,5 Seconds of Summer,Easier,pop
Higher,The Saturdays,Headlines,pop
Big Girls Don't Cry (Personal),Fergie,The Dutchess,pop
Crush,David Archuleta,David Archuleta,pop
On My Own,Austin Moon,Teen Beach 2 (Original TV Movie Soundtrack),pop
"It's Party Time (From ""Hotel Transylvania 3"")",Joe Jonas,"It's Party Time (From ""Hotel Transylvania 3"")",pop
What A Time (feat. Niall Horan),Julia Michaels,Inner Monologue Part 1,pop
All About Tonight,Pixie Lott,Young Foolish Happy (Deluxe Edition),pop
My Oh My (feat. DaBaby),Camila Cabello,Romance,pop
Toxic,Britney Spears,In The Zone,pop
Me And My Broken Heart,Rixton,Let The Road,pop
What's My Name,China Anne McClain,Descendants 2 (Original TV Movie Soundtrack),pop
Demi Lovato Medley,Cimorelli,Demi Lovato Medley,pop
Phases,PRETTYMUCH,Phases,pop
History,Olivia Holt,Olivia,pop
Outside Looking In,Jordan Pruitt,No Ordinary Girl,pop
Up,Olly Murs,Never Been Better (Deluxe),pop
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Title (Deluxe),pop
Yummy,Justin Bieber,Yummy,pop
Ruin My Life,Zara Larsson,Ruin My Life,pop
Let's Make This Last 4Ever,Mitchel Musso,Hannah Montana 3,pop
Insomnia,Daya,Insomnia,pop
Bleeding Love,Leona Lewis,Spirit,pop
In My Blood,The Veronicas,In My Blood,pop
No One Compares To You,Jack & Jack,A Good Friend Is Nice,pop
I'm a Mess,Bebe Rexha,Expectations,pop
Push It to the Limit,Corbin Bleu,Another Side,pop
Acapella,Karmin,Pulses,pop
Don't Hold Your Breath,Nicole Scherzinger,Killer Love (International Version),pop
So Close,Jennette McCurdy,So Close,pop
I Luv U (with R3HAB),Sofia Carson,I Luv U (with R3HAB),pop
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Pretty Girl (Cheat Codes X CADE Remix),pop
A Thousand Years,Christina Perri,A Thousand Years,pop
Rumors,Lindsay Lohan,Speak,pop
Ghost Town,Adam Lambert,The Original High (Deluxe Version),pop
Who I Am,Nick Jonas & The Administration,Who I AM,pop
Hate How Much I Love You,Conor Maynard,Hate How Much I Love You,pop
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),pop
Not Your Birthday,Allstar Weekend,All the Way,pop
Gold,Victoria Justice,Gold,pop
Slow Dance,AJ Mitchell,Slow Dance,pop
Like I Did,Shane Harper,Like I Did,pop
"Determinate - From ""Lemonade Mouth""",Adam Hicks,Lemonade Mouth,pop
"Take On the World - Theme Song From ""Girl Meets World""",Rowan Blanchard,"Take On the World (Theme Song From ""Girl Meets World"")",pop
Chillin' Like a Villain,Sofia Carson,Descendants 2 (Original TV Movie Soundtrack),pop
"Keep It Undercover - Theme Song From ""K.C. Undercover""",Zendaya,"Keep It Undercover (Theme Song From ""K.C. Undercover"")",pop
"Time of Our Lives - Main Title Theme From ""I Didn't Do It""",Olivia Holt,Time Of Our Lives (Main Title Theme) [Music From The TV Series “I Didn’t Do It”],pop
Who Says,Selena Gomez & The Scene,When The Sun Goes Down,pop
Tell Me Something I Don't Know - Soundtrack,Selena Gomez,Another Cinderella Story (Original Motion Picture Soundtrack),pop
Calling All the Monsters,China Anne McClain,Calling All The Monsters,pop
Magic,Selena Gomez,Wizards Of Waverly Place,pop
Boombox,Laura Marano,Boombox,pop
Black Magic,Little Mix,Get Weird (Deluxe),pop
Mmm Yeah (feat. Pitbull),Austin Mahone,The Secret,pop
La Bella y La Bestia,Bely Basarte,La Bella y la Bestia (Beauty and the Beast) [Banda Sonora Original en Castellano/Edición Deluxe],pop
Esperándola sin más,Ignasi Vidal,La Bella y la Bestia (Beauty and the Beast) [Banda Sonora Original en Castellano/Edición Deluxe],pop
Por fin ya veo la luz,Carmen López,Enredados (Rapunzel) OST,pop
Cuando mi vida va a comenzar,Carmen López,Enredados (Rapunzel) OST,pop
El Ritmo De La Selva,Fernando García Baró,The Jungle Book 2 Original Soundtrack,pop
Pobres almas sin sol,Helen Quiroga,La Sirenita (Banda Sonora Original),pop
"Parte De Tu Mundo - De ""La Sirenita""/Banda Sonora Original",María Caneda,La Sirenita (Banda Sonora Original),pop
Canción del encantamiento,Carmen López,Enredados (Rapunzel) OST,pop
La Bella Y La Bestia,Marta Martorell,La Bella y La Bestia (Edición Especial/Banda Sonora Original),pop
Qué hay más allá,María Parrado,Vaiana (Banda Sonora Original en Castellano),pop
Fire,"Matthew ""Mdot"" Finley",Camp Rock 2: The Final Jam,pop
Can't Back Down,Demi Lovato,Camp Rock 2: The Final Jam,pop
"It's On - From ""Camp Rock 2: The Final Jam""",Demi Lovato,Camp Rock 2: The Final Jam,pop
Wouldn't Change a Thing,Demi Lovato,Camp Rock 2: The Final Jam,pop
Introducing Me,Nick Jonas,Camp Rock 2: The Final Jam,pop
This is Our Song,Demi Lovato,Camp Rock 2: The Final Jam,pop
We Rock,Cast Of Camp Rock,Camp Rock OST,pop
Play My Music,Jonas Brothers,Camp Rock OST,pop
Gotta Find You,Joe Jonas,Camp Rock OST,pop
This Is Me,Demi Lovato,Camp Rock OST,pop
Here I Am,Renee Sandstrom,Camp Rock OST,pop
What it Takes,Aaryn Doyle,Camp Rock OST,pop
Dynamite,China Anne McClain,A.N.T. Farm (Original Soundtrack),pop
